@category,@priority,@rank,@type,@output
MALICIOUS_CODE,3,20,MS_OOI_PKGPROTECT,true
MALICIOUS_CODE,2,18,MS_OOI_PKGPROTECT,true
MALICIOUS_CODE,2,18,MS_OOI_PKGPROTECT,true
MALICIOUS_CODE,2,18,MS_OOI_PKGPROTECT,true
MALICIOUS_CODE,2,18,MS_OOI_PKGPROTECT,true
MALICIOUS_CODE,2,18,MS_OOI_PKGPROTECT,true
MALICIOUS_CODE,2,18,MS_OOI_PKGPROTECT,true
MALICIOUS_CODE,2,18,MS_OOI_PKGPROTECT,true
MALICIOUS_CODE,2,18,MS_OOI_PKGPROTECT,true
MALICIOUS_CODE,3,20,MS_OOI_PKGPROTECT,true
MALICIOUS_CODE,3,20,MS_OOI_PKGPROTECT,true
MALICIOUS_CODE,3,20,MS_OOI_PKGPROTECT,true
MALICIOUS_CODE,3,20,MS_OOI_PKGPROTECT,true
MALICIOUS_CODE,2,18,MS_OOI_PKGPROTECT,true
MALICIOUS_CODE,2,18,MS_SHOULD_BE_FINAL,true
STYLE,2,19,SF_SWITCH_NO_DEFAULT,true
STYLE,2,19,SF_SWITCH_NO_DEFAULT,true
BAD_PRACTICE,3,19,OS_OPEN_STREAM_EXCEPTION_PATH,true
STYLE,3,20,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,true
STYLE,3,20,PZLA_PREFER_ZERO_LENGTH_ARRAYS,true
STYLE,3,20,PZLA_PREFER_ZERO_LENGTH_ARRAYS,true
STYLE,3,20,PZLA_PREFER_ZERO_LENGTH_ARRAYS,true
STYLE,3,20,PZLA_PREFER_ZERO_LENGTH_ARRAYS,true
STYLE,3,20,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,true
PERFORMANCE,3,20,UPM_UNCALLED_PRIVATE_METHOD,true
MALICIOUS_CODE,1,16,MS_SHOULD_BE_FINAL,true
STYLE,3,20,REC_CATCH_EXCEPTION,true
PERFORMANCE,3,20,UPM_UNCALLED_PRIVATE_METHOD,true
I18N,3,20,DM_CONVERT_CASE,true
